DivisionNm,CountNum,PPId,ALP,GRN,IND,LNP,ONP,OTH,TEAL
Adelaide,2,6649,0.10003449465332873,0.7999310106933425,,0.10003449465332873,0.0,-1.0,
Adelaide,2,6651,0.125,0.8,,0.05,0.025,-1.0,
Adelaide,2,6654,0.3076674563859574,0.38455739823390056,,0.15388757269007108,0.15388757269007108,-1.0,
Adelaide,2,6655,0.117679928475637,0.5293920429146177,,0.23524810013410818,0.117679928475637,-1.0,
Adelaide,2,6657,0.1,0.6,,0.2,0.1,-1.0,
Adelaide,2,6659,0.2727504136438844,0.5000636375206822,,0.13631156930126,0.09087437953417334,-1.0,
Adelaide,2,6660,0.21053296286941148,0.5262692599141197,,0.05266481434705733,0.21053296286941148,-1.0,
Adelaide,2,6663,0.1765010351966874,0.7646221532091098,,0.0,0.058876811594202896,-1.0,
Adelaide,2,6668,0.375,0.5,,0.125,0.0,-1.0,
Adelaide,2,6674,0.09094710432782771,0.49999999999999994,,0.3181057913443445,0.09094710432782771,-1.0,
Adelaide,2,6675,0.25641295206055514,0.6666316232127839,,0.05130361648444071,0.025651808242220357,-1.0,
Adelaide,2,6676,0.13337555414819507,0.4,,0.266624445851805,0.2,-1.0,
Adelaide,2,6679,0.29627873903768664,0.55558189144347,,0.07406968475942166,0.07406968475942166,-1.0,
Adelaide,2,6681,0.30768372922939663,0.5384186461469833,,0.07694881231180996,0.07694881231180996,-1.0,
Adelaide,2,6682,0.0,1.0,,0.0,0.0,-1.0,
Adelaide,2,6685,0.23079999999999998,0.5385,,0.07690000000000001,0.15380000000000002,-1.0,
Adelaide,2,6686,0.0,0.7500281246484419,,0.12498593767577905,0.12498593767577905,-1.0,
Adelaide,2,6868,0.2857877593005315,0.42859591976684386,,0.14280816046631237,0.14280816046631237,-1.0,
Adelaide,2,6871,0.26087863925701765,0.652196598142544,,0.08692476260043829,0.0,-1.0,
Adelaide,2,6878,0.27274710888064585,0.636373554440323,,0.0,0.09087933667903121,-1.0,
Adelaide,2,6886,0.21429999999999996,0.7142999999999999,,0.0,0.07139999999999999,-1.0,
Adelaide,2,6889,0.23809523809523808,0.6190476190476191,,0.14285714285714285,0.0,-1.0,
