DivisionNm,upto50k,50to99k,100to150k,150kplus,18to34,35to49,50to64,65plus,female,male,englishonly,nonenglish,christian,noreligion,notertiary,tafe,university
La Trobe,2984,37115,8212,2984,38566,35821,23234,17149,81010,78844,111204,41104,60920,62622,8838,40955,27019
Lalor,2575,38335,8387,2575,47523,41794,24395,16557,90069,90150,87446,81588,68793,42494,11506,37179,37551
Leichhardt,4176,35738,8876,4176,37106,36263,35149,26890,88573,87048,125859,32482,76536,71914,18390,46563,26971
Lilley,6898,39447,13247,6898,39588,35640,27238,25488,82842,78720,129719,25196,76604,64794,8826,38949,41105
Lindsay,3003,41144,9875,3003,43858,37073,27564,21639,88386,86022,127841,34868,91745,52064,12889,43293,23867
Longman,2702,36680,7167,2702,39020,33867,33908,36550,95091,91490,163809,11554,81661,86054,12596,55970,17782
Lyne,2521,25772,5455,2521,21598,23287,34227,47850,80537,77022,143857,4330,85249,58049,13765,47372,17867
Lyons,1430,22402,3503,1430,20905,19399,24973,24748,56733,56331,102497,3808,47197,54799,8898,30610,12066
Macarthur,2343,35772,7748,2343,39440,34050,24694,19633,81974,79456,99612,52486,81938,36979,10284,37353,24673
Mackellar,16150,39343,14246,16150,30883,36170,35676,35172,90623,86765,143097,27942,87117,74350,9689,42547,48873
Macnamara,18055,44874,18272,18055,55349,39551,27568,22620,86018,82378,114869,43698,48335,77927,12498,27935,75474
Macquarie,5281,36506,11604,5281,29590,30241,32483,31321,81248,78320,142492,10778,81383,64804,8626,45225,32029
Makin,2350,39315,7478,2350,38494,34732,31386,31920,87443,86318,126383,40772,69551,71801,8318,45370,27487
Mallee,2077,31543,5218,2077,31524,27636,35928,40547,86196,85336,144050,14075,78066,70689,16937,42318,16895
Maranoa,2805,26897,5457,2805,27540,25225,31477,33180,75875,75547,131789,5725,84954,47963,15681,37530,13787
Maribyrnong,10307,40564,14559,10307,43239,37760,30772,29437,89293,85289,115936,51629,89645,57703,9742,33675,52249
Mayo,5390,35814,9278,5390,27574,30830,36842,42406,88675,85054,158912,7369,64114,94935,10463,48227,32641
McPherson,5486,35988,9172,5486,34098,34299,29757,30771,85643,77965,137166,18049,73961,73387,11706,44566,32333
Mcewen,5236,35239,10525,5236,32414,34987,26815,19377,79022,77431,122511,27084,67552,64881,7867,40539,29488
Mcmahon,2435,37502,8039,2435,42660,38367,33932,28079,94504,93345,81400,95128,104851,29535,12713,37436,29799
Melbourne,16471,55763,21367,16471,105811,42136,22879,17898,104914,102476,115675,76500,50773,108560,17897,28813,103559
Menzies,10435,38572,13288,10435,40960,37836,35461,38925,98568,92009,96582,87546,81039,77871,9950,32412,65437
Mitchell,13762,38726,17651,13762,33131,43196,32155,28467,93042,89784,103088,74680,92202,50608,7226,34737,59989
Monash,3010,27145,5770,3010,24886,24262,31224,36981,75765,72369,131611,7225,59715,73417,12081,41677,19664
Moncrieff,6622,38604,8722,6622,45933,35553,34102,36075,93016,89128,136093,32419,78793,76422,17335,48386,37535
Moore,10709,35420,14179,10709,28916,33257,33686,31167,83360,81115,141922,17706,78199,73148,8242,42594,39027
Moreton,7237,36516,11430,7237,45773,36496,27017,23658,84858,83616,100457,60842,65090,69287,9323,31579,53777
New England,3137,32835,7888,3137,35002,30206,34571,38225,91144,88657,155138,9431,100506,56811,17639,45518,21695
Newcastle,6880,38871,11989,6880,45350,32285,29391,28226,85357,82410,142148,17850,73590,76411,10671,40734,40801
Nicholls,2432,32276,5885,2432,31740,28243,33598,37013,83776,83128,137693,16877,78422,64266,14941,42325,18024
O'connor,5398,33489,10871,5398,31460,31624,36847,34202,84527,88501,142587,13069,66344,81647,18585,43994,18051
Oxley,4266,38969,9698,4266,44911,40692,30373,21643,93200,93316,116176,57825,79652,65297,10111,41871,34040
Page,2151,30397,5718,2151,28572,29262,37361,42040,87842,85816,152451,8074,81245,70693,16706,47607,23121
Parkes,3449,34626,8465,3449,36659,30265,35169,36362,92092,90468,154308,8000,103616,52429,21566,42412,18558
Parramatta,7599,48334,16955,7599,58524,52280,31669,26453,107015,109645,74390,129947,77913,53468,15031,34091,76434
Paterson,3121,33476,8183,3121,33127,29145,29473,32667,82767,79260,146590,8180,85213,63908,9942,48921,18089
Pearce,5193,35286,10689,5193,36464,34453,27875,18694,81474,78358,130389,22230,67228,74851,9395,45808,21403
Perth,12294,40510,16094,12294,49792,38815,27923,24870,85025,83592,114754,44362,64391,72788,12400,34688,57788
Petrie,4684,40609,9949,4684,37271,38690,32192,33618,96101,89184,149896,27197,87153,74293,11092,50405,29968
Rankin,2334,36908,6684,2334,43483,39654,29940,23071,94401,92452,115039,59615,77689,68424,12765,43032,27705
Reid,13620,48325,17378,13620,67071,44029,31846,27627,103461,101910,82650,111363,84677,68003,14677,35410,76573
Richmond,4139,32030,6917,4139,26944,31245,34803,42046,87586,81007,146194,10022,69989,77454,15637,45204,30504
Riverina,4135,36894,8732,4135,34919,30574,34708,37780,90578,89225,157049,10288,105803,54119,15630,46197,23476
