DivisionNm,upto50k,50to99k,100to150k,150kplus,18to34,35to49,50to64,65plus,female,male,englishonly,nonenglish,christian,noreligion,notertiary,tafe,university
Banks,6112,35320,10342,6112,37455,32801,30854,28524,83028,79869,79993,75423,82781,44697,10237,34256,40843
Barton,6468,41118,11988,6468,52397,38554,29947,28428,91139,90505,67338,103562,79056,53307,13236,33661,53052
Bennelong,11780,43586,17080,11780,49042,43293,32007,28772,97697,93521,83398,100168,82112,71710,10437,31413,74400
Berowra,12706,31358,13739,12706,25277,31466,31301,29233,77373,75201,102018,46439,76944,53154,6728,31046,50626
Blaxland,1944,30057,4944,1944,51710,35734,30664,24839,92095,96511,45785,126652,58837,28738,17358,30517,30661
Bradfield,20834,32214,14988,20834,29290,37229,31714,31375,87529,81650,99107,65166,71920,68899,7343,23219,72153
Calare,4501,33507,9391,4501,33199,30009,32602,33998,84502,84728,148123,8186,95015,54850,15364,45233,22877
Chifley,2753,42383,8700,2753,49655,43827,31007,23266,101944,100120,92904,94772,98014,35062,15157,36889,38420
Cook,10333,35428,12325,10333,29666,29744,28955,30231,76813,72635,110423,32629,89755,44921,9241,38649,34692
Cowper,3047,29778,5992,3047,27937,27885,34921,45199,88020,82185,149279,9390,82012,68686,15298,47748,23515
Cunningham,6522,34136,11273,6522,38762,30472,29695,29874,82109,79564,127483,26909,79549,63932,9590,40787,37813
Dobell,3523,32942,7479,3523,31922,29982,30092,33505,83974,78744,143308,10654,83897,63765,11729,46687,20038
Eden-Monaro,6311,36596,11653,6311,29406,29933,34988,32961,80724,80807,138683,12747,76790,66094,12450,42716,29990
Farrer,3235,35642,6723,3235,33077,29591,34168,37639,87339,85777,144778,14907,92566,57349,15981,43340,20036
Fowler,1729,28219,4646,1729,41871,33037,33406,27494,87839,85684,43208,117459,78003,27472,13782,29516,22260
Gilmore,3805,30309,6812,3805,25426,25568,34812,46987,83053,80692,145381,7647,79234,68114,14158,48535,24817
Grayndler,17538,36145,17005,17538,40541,37165,26420,20490,77216,73515,108065,35890,53387,77322,8552,24655,63311
Greenway,7050,46440,15695,7050,47039,51405,29337,21216,100159,101385,95650,95478,86554,38135,12349,37954,54725
Hughes,7930,35585,13597,7930,29376,32018,27988,24860,76248,74052,119048,26315,87168,47410,6963,40170,33605
Hume,5026,39204,11037,5026,35308,33247,31781,29016,86665,85432,150163,13200,101903,53896,11194,49759,22287
Hunter,4572,33840,9886,4572,36269,31698,32502,34479,87384,87036,156851,7486,89457,68963,13177,52518,18646
Kingsford Smith,13780,43616,16389,13780,54969,39426,29010,26239,92410,89527,108550,62272,85707,62577,13833,33925,62106
Lindsay,3928,44613,10902,3928,46342,39986,30069,24409,95216,92631,140101,35601,99724,56675,13630,47085,26080
Lyne,2954,26041,5535,2954,21628,23428,34364,47844,80459,76884,143609,4348,85109,58014,13762,47254,17877
Macarthur,3688,46052,10410,3688,49969,44343,31657,23939,104213,101285,126911,67186,106170,46243,12342,47632,32161
Mackellar,13974,34642,12524,13974,26535,31342,31210,31864,79420,75968,126909,22912,76875,64879,8580,38059,41754
Macquarie,4980,33142,10374,4980,27028,27450,30041,28676,74011,71325,129796,9827,72983,60031,7918,41195,29696
McMahon,2457,31816,6514,2457,40952,34593,31470,26031,88217,87426,68913,94350,97938,24405,12722,33983,23357
Mitchell,13321,40510,18401,13321,35206,45852,31645,27102,95838,92376,107097,75950,95353,50669,7523,36299,60138
New England,3025,29413,6490,3025,30710,26651,30569,34745,80894,77752,136639,8717,88592,50150,15413,39826,20312
Newcastle,7029,38598,12008,7029,45055,32120,29099,27502,84482,81680,140700,17670,72700,75893,10485,40316,40632
North Sydney,26003,36320,19350,26003,37928,40502,28775,27217,86835,80375,110241,50150,70980,71280,9066,23558,77712
Page,2503,29413,5494,2503,27986,28623,36365,41030,85376,83408,148134,7771,79180,68413,16084,46280,22164
Parkes,3390,29528,7250,3390,31769,26045,30059,30420,78220,76753,129567,7218,85752,45439,18807,35447,16154
Parramatta,5784,43562,14112,5784,59836,47450,29116,22955,99517,103754,64772,124462,71213,42363,15787,32135,65714
Paterson,3564,35982,8702,3564,36396,31559,32015,35160,89647,85927,159215,8412,91659,69916,10821,52909,18662
Reid,13632,47274,17018,13632,65462,43378,31604,27356,101763,100054,81637,109040,83594,66669,14336,34857,75218
Richmond,4492,31908,6939,4492,26915,31240,34599,41893,86993,80437,145033,10026,69317,76932,15581,44869,30208
Riverina,3363,32315,6996,3363,33042,27085,30032,33925,81571,79774,140614,9410,97762,45617,14131,41046,19108
Robertson,5882,31234,9281,5882,26494,28303,30609,35262,78375,73596,131452,13046,75551,62188,10798,42016,28269
Shortland,4364,31946,8915,4364,28050,27540,29676,34165,77775,74146,138593,7216,76677,64250,9005,44613,23071
Sydney,22781,53456,24772,22781,90590,49678,27438,18722,97307,106905,117313,72381,55375,107051,17857,32775,98829
Warringah,23470,32573,15005,23470,30527,33803,29182,24904,78145,72669,120160,25534,69035,68286,7617,26605,59366
Watson,3721,32306,7242,3721,46759,37066,31536,26671,90349,92809,54984,115098,73205,32972,14898,31023,39434
Wentworth,25915,32841,16304,25915,39231,32833,24087,24062,76081,70021,111590,26271,51077,60395,10964,20714,66614
Werriwa,3096,38596,8085,3096,46714,41739,34296,22569,100525,98652,74934,111483,94318,26563,13002,38336,30855
Whitlam,4533,34443,9031,4533,32865,30686,31650,35722,86507,82035,143112,17493,90593,61688,10678,49194,22801
Aston,4623,37182,9918,4623,33622,32974,31387,28436,81164,77940,108159,45732,67871,66169,7690,38733,36892
Ballarat,3986,31291,7256,3986,30916,28286,29403,29898,78063,74181,134667,9407,62821,73988,10378,38648,27833
Bendigo,3405,31350,7063,3405,29954,27747,29749,32456,78286,74267,133894,9085,61451,74620,11412,38830,26880
Bruce,2924,36829,7047,2924,43116,36447,32796,26585,88799,90343,84612,83669,74617,45222,12359,40003,30720
Calwell,2289,33886,6131,2289,50308,40459,28633,17087,93729,94756,66341,109831,77008,26481,12057,35925,30072
Casey,4563,35944,9554,4563,31674,31361,31391,27812,79535,77906,139114,12500,59461,84926,8166,45461,27463
Chisholm,8883,36799,12547,8883,46392,36066,31481,35217,93552,90099,84386,92059,68402,72495,10737,29850,65498
Cooper,7983,36647,12303,7983,42524,36178,26857,22833,80287,75990,99594,49861,59479,71584,9146,26898,53018
Corangamite,5288,33773,9413,5288,30255,29537,26937,32017,78661,74092,135313,10675,65506,73212,9126,40705,32442
Corio,5152,33501,9023,5152,37763,30739,28891,28801,81268,77971,127478,22788,70451,68097,10396,38653,31697
Deakin,6689,37073,12241,6689,33853,35558,30502,31493,86289,80822,118998,42387,71009,74514,8290,36904,45424
Dunkley,4946,35501,9284,4946,32068,32881,30322,27344,80871,77143,133390,16921,61405,80054,10223,43366,26311
Flinders,5801,30740,8071,5801,23653,25134,30980,41846,77714,72638,133808,8011,63020,73760,11881,41992,25274
Fraser,4943,35779,9520,4943,51157,38886,28649,24606,87592,88791,70818,93895,65403,57110,13837,30025,43254
Gellibrand,9578,40381,14767,9578,42111,49351,28380,20417,94911,95075,102615,77173,73005,60839,10682,34566,52870
Gippsland,3312,27690,5858,3312,27681,25414,32420,37742,78058,76298,134378,7887,62805,73368,14360,42652,17602
Goldstein,18528,31014,13565,18528,27216,31230,32599,30254,80469,74264,117819,31584,62291,66449,7963,25801,57122
Gorton,3565,37470,8287,3565,42119,40727,29712,21039,88900,89201,78373,88841,93846,33062,10295,35818,32390
Hawke,3130,35903,8000,3130,38623,34990,27263,21415,83986,81404,121179,35100,76322,59995,10131,42624,22446
Higgins,19206,38139,15742,19206,46383,32021,26378,25668,80562,74497,110412,38194,59054,68687,8962,22622,70579
Holt,2067,41730,6764,2067,47570,42998,26883,16961,93721,93534,98187,78879,68159,54345,10297,44004,28589
Hotham,4979,38794,9363,4979,54168,39974,32243,31675,97169,98421,75459,110949,74269,55277,12156,34085,49528
Indi,3074,33047,6424,3074,26597,27039,33332,37177,79610,77010,138386,7822,69388,70656,13114,44465,22187
Isaacs,7535,36948,12307,7535,31727,35788,30465,27541,82689,77828,111369,43368,68293,63965,8112,35507,39826
Jagajaga,9474,36137,13372,9474,31334,33542,30302,29519,81452,77412,122659,31331,70295,71207,7107,32792,48801
Kooyong,19443,34735,14027,19443,37546,31003,31882,30347,85306,78044,110140,48247,67483,74062,7359,22055,71594
La Trobe,3974,39197,8836,3974,40138,37706,25486,19904,86111,83354,118865,42571,65799,66270,9440,43200,29126
Lalor,3676,42835,9906,3676,53384,47892,26605,17478,100333,100992,94342,94570,74527,46912,12860,40406,44011
Macnamara,18395,44471,18227,18395,54443,39618,27715,23247,85969,82107,114513,43454,48488,77312,12852,27515,75577
Mallee,2547,30957,5172,2547,31098,27222,35128,39774,84301,83340,140635,13953,76613,68850,16458,41186,16485
Maribyrnong,9637,35375,12897,9637,36713,33003,27690,26674,78659,74746,103430,43935,80991,50506,8311,29605,45655
