,0
0,0.44969572576321815
1,0.38598650135565626
2,0.32328065267153844
3,0.2472469522080623
4,0.2347411090420145
5,0.2311734064907855
6,0.13132170457952103
7,0.09775644296528059
8,0.09020833419015073
9,0.08055956538198533
10,0.08039528332120563
11,0.06659149937876696
12,0.06297673762148204
13,0.06290213444858377
