Start Date,End Date,Pollster,Mode,Scope,Sample,LNC,ALP,GRN,PHON,UND,L-NP 2pp,ALP 2pp,L-NP r/a,ALP r/a
"Mar 11, 2020","May 16, 2020",Newspoll,Online,LOTE,"1,954",36,42,13,2,,43,57,,
"Jun 3, 2020","Aug 8, 2020",Newspoll,Online,LOTE,769,37,41,13,1,,44,56,,
"Aug 26, 2020","Nov 28, 2020",Newspoll,Online,LOTE,977,39,41,12,2,,46,54,,
"Jan 27, 2021","Mar 27, 2021",Newspoll,Online,LOTE,697,36,44,13,2,,42,58,,
"Apr 21, 2021","Jun 26, 2021",Newspoll,Online,LOTE,770,34,42,15,2,,42,58,,
"Jul 14, 2021","Sep 18, 2021",Newspoll,Online,LOTE,855,31,47,15,1,,38,62,,
"Sep 29, 2021","Dec 4, 2021",Newspoll,Online,LOTE,855,28,48,10,2,,37,63,,
"Jan 25, 2022","Mar 12, 2022",Newspoll,Online,LOTE,694,30,45,10,1,,40,60,,
