Start Date,End Date,Pollster,Mode,Scope,Sample,LNC,ALP,GRN,PHON,UND,L-NP 2pp,ALP 2pp,L-NP r/a,ALP r/a
"Mar 11, 2020","May 16, 2020",Newspoll,Online,TAFE/Tech,"2,960",40,34,12,6,,50,50,,
"Jun 3, 2020","Aug 8, 2020",Newspoll,Online,TAFE/Tech,"2,070",40,35,9,4,,51,49,,
"Aug 26, 2020","Nov 28, 2020",Newspoll,Online,TAFE/Tech,"2,631",43,33,11,4,,52,48,,
"Jan 27, 2021","Mar 27, 2021",Newspoll,Online,TAFE/Tech,"1,950",39,37,11,3,,48,52,,
"Apr 21, 2021","Jun 26, 2021",Newspoll,Online,TAFE/Tech,"1,962",38,37,12,3,,47,53,,
"Jul 14, 2021","Sep 18, 2021",Newspoll,Online,TAFE/Tech,"2,101",36,39,10,3,,46,54,,
"Sep 29, 2021","Dec 4, 2021",Newspoll,Online,TAFE/Tech,"2,101",36,39,9,3,,47,53,,
"Jan 25, 2022","Mar 12, 2022",Newspoll,Online,TAFE/Tech,"1,872",34,37,10,3,,46,54,,
