Start Date,End Date,Pollster,Mode,Scope,Sample,LNC,ALP,GRN,PHON,UND,L-NP 2pp,ALP 2pp,L-NP r/a,ALP r/a
"Mar 11, 2020","May 16, 2020",Newspoll,Online,$50k-$99k,"1,507",40,35,13,3,,48,52,,
"Jun 3, 2020","Aug 8, 2020",Newspoll,Online,$50k-$99k,"1,889",42,35,12,3,,50,50,,
"Aug 26, 2020","Nov 28, 2020",Newspoll,Online,$50k-$99k,"2,401",43,36,11,2,,51,49,,
"Jan 27, 2021","Mar 27, 2021",Newspoll,Online,$50k-$99k,"1,747",40,39,9,3,,48,52,,
"Apr 21, 2021","Jun 26, 2021",Newspoll,Online,$50k-$99k,"1,831",42,35,11,3,,51,49,,
"Jul 14, 2021","Sep 18, 2021",Newspoll,Online,$50k-$99k,"1,885",38,40,9,3,,47,53,,
"Sep 29, 2021","Dec 4, 2021",Newspoll,Online,$50k-$99k,"1,885",35,41,10,3,,44,56,,
"Jan 25, 2022","Mar 12, 2022",Newspoll,Online,$50k-$99k,"1,764",32,43,9,3,,43,57,,
