,0
0,0.6546645228416929
1,0.6436096900601048
2,0.6214015606456346
3,0.5570340592252292
4,0.27695837246831834
5,0.27564132565020616
6,0.1786279344516881
7,0.178576720923843
8,0.17857231307870272
9,0.1785563532922782
10,0.17855522723113132
11,0.17843713157546778
12,0.17836099743772954
13,0.17806924229908278
14,0.17801369727766467
15,0.17801137282833834
16,0.17799525244614314
17,0.17794067881588765
18,0.1779337267273391
19,0.17788360100814946
20,0.1776127324774678
21,0.17754571133207553
22,0.17744816622687712
23,0.17744767591161956
24,0.17744546540760092
25,0.17738156526520385
26,0.17737706077969417
27,0.1772750082012428
28,0.17717859249365261
29,0.1771210566873433
30,0.17701906310219037
31,0.17700458128769617
32,0.1769701276496673
33,0.17696698415804996
34,0.17690589039246432
35,0.17665526122246455
36,0.17665482479693057
37,0.17664091714503574
38,0.1765841059704078
39,0.17657666667526487
40,0.17613146146035125
41,0.17613039111789586
42,0.17609161922839484
43,0.17608736280232345
44,0.1760508440980473
45,0.17605028291563474
46,0.17591076004946699
47,0.17588058458360936
48,0.17584052314064513
49,0.17583186590058467
50,0.1755653269943201
51,0.17552528309264967
52,0.17551813298383995
53,0.17551675905562136
54,0.17550184168817992
55,0.17549643702203116
56,0.17549171738964037
57,0.17547217300024576
58,0.1751499961085806
59,0.17514686607579041
60,0.1745917085478141
61,0.17441062628654222
