,UAP,ONP,ALP,GRN,LNP,IND,TEAL,OTH
UAP,0.0,0.18790594964289972,0.09095853301650819,0.09381639274748696,0.16607927900025088,0.18615024716176154,0.09307512358088077,0.18201447485021194
ONP,0.1783276299169852,0.0,0.09135930027759175,0.0891638149584926,0.19391579208537707,0.18723300719706293,0.0891638149584926,0.17083664060599793
ALP,0.06053178390661455,0.11079897474256284,0.0,0.18364946546152078,0.3060824424358679,0.06121648848717359,0.21425770970510752,0.0634631352611528
GRN,0.10931664010081192,0.05348399787752979,0.30395798869685603,0.0,0.052284284887489076,0.1167503966698681,0.250631152048615,0.1135755397188301
LNP,0.24182445949190814,0.24182445949190814,0.12338633434183305,0.12091222974595407,0.0,0.09068417230946554,0.060456114872977036,0.12091222974595407
IND,0.15585553265916527,0.15899296148540482,0.07746281905210457,0.08147874714022343,0.07602762855806708,0.0,0.14607179687276656,0.3041105142322683
TEAL,0.08138094723861508,0.04707225962563738,0.2102808314700153,0.20591717763093273,0.1261684988820092,0.16822466517601226,0.0,0.16095561997677804
OTH,0.13259291984985805,0.12463892099342573,0.12718353580181835,0.12776840709606918,0.0595481610952722,0.31258136955681104,0.11568668560674542,0.0
