Start Date,End Date,Pollster,Mode,Scope,Sample,LNC,ALP,GRN,PHON,UND,L-NP 2pp,ALP 2pp,L-NP r/a,ALP r/a
"Mar 11, 2020","May 16, 2020",Newspoll,Online,Age 65+,578,54,29,4,5,,62,38,,
"Jun 3, 2020","Aug 8, 2020",Newspoll,Online,Age 65+,"1,497",56,30,3,4,,63,37,,
"Aug 26, 2020","Nov 28, 2020",Newspoll,Online,Age 65+,"1,902",55,31,2,4,,62,38,,
"Jan 27, 2021","Mar 27, 2021",Newspoll,Online,Age 65+,"1,345",55,31,3,3,,62,38,,
"Apr 21, 2021","Jun 26, 2021",Newspoll,Online,Age 65+,"1,409",58,27,3,3,,65,35,,
"Jul 14, 2021","Sep 18, 2021",Newspoll,Online,Age 65+,"1,539",51,33,2,3,,59,41,,
"Sep 29, 2021","Dec 4, 2021",Newspoll,Online,Age 65+,"1,539",50,30,3,3,,60,40,,
"Jan 25, 2022","Mar 12, 2022",Newspoll,Online,Age 65+,"1,325",50,33,3,2,,58,42,,
