Start Date,End Date,Pollster,Mode,Scope,Sample,LNC,ALP,GRN,PHON,UND,L-NP 2pp,ALP 2pp,L-NP r/a,ALP r/a
"Mar 11, 2020","May 16, 2020",Newspoll,Online,$150k+,"1,412",46,34,12,2,,53,47,,
"Jun 3, 2020","Aug 8, 2020",Newspoll,Online,$150k+,757,51,30,12,2,,57,43,,
"Aug 26, 2020","Nov 28, 2020",Newspoll,Online,$150k+,962,49,32,13,1,,55,45,,
"Jan 27, 2021","Mar 27, 2021",Newspoll,Online,$150k+,778,51,31,10,2,,57,43,,
"Apr 21, 2021","Jun 26, 2021",Newspoll,Online,$150k+,755,50,32,11,2,,56,44,,
"Jul 14, 2021","Sep 18, 2021",Newspoll,Online,$150k+,905,44,37,10,3,,51,49,,
"Sep 29, 2021","Dec 4, 2021",Newspoll,Online,$150k+,905,45,35,9,2,,53,47,,
"Jan 25, 2022","Mar 12, 2022",Newspoll,Online,$150k+,837,33,36,13,3,,45,55,,
