Start Date,End Date,Pollster,Mode,Scope,Sample,LNC,ALP,GRN,PHON,UND,L-NP 2pp,ALP 2pp,L-NP r/a,ALP r/a
"Mar 11, 2020","May 16, 2020",Newspoll,Online,Christian,"2,402",51,32,6,3,,58,42,,
"Jun 3, 2020","Aug 8, 2020",Newspoll,Online,Christian,"2,967",52,29,6,3,,60,40,,
"Aug 26, 2020","Nov 28, 2020",Newspoll,Online,Christian,"3,771",52,31,7,3,,59,41,,
"Jan 27, 2021","Mar 27, 2021",Newspoll,Online,Christian,"2,769",49,35,5,3,,56,44,,
"Apr 21, 2021","Jun 26, 2021",Newspoll,Online,Christian,"2,776",51,33,5,3,,58,42,,
"Jul 14, 2021","Sep 18, 2021",Newspoll,Online,Christian,"3,086",47,35,5,2,,55,45,,
"Sep 29, 2021","Dec 4, 2021",Newspoll,Online,Christian,"3,086",46,33,5,3,,55,45,,
"Jan 25, 2022","Mar 12, 2022",Newspoll,Online,Christian,"2,779",44,35,5,3,,54,46,,
