Start Date,End Date,Pollster,Mode,Scope,Sample,LNC,ALP,GRN,PHON,UND,L-NP 2pp,ALP 2pp,L-NP r/a,ALP r/a
"Mar 11, 2020","May 16, 2020",Newspoll,Online,No tertiary,446,41,36,11,4,,50,50,,
"Jun 3, 2020","Aug 8, 2020",Newspoll,Online,No tertiary,"1,756",44,33,10,5,,53,47,,
"Aug 26, 2020","Nov 28, 2020",Newspoll,Online,No tertiary,"2,232",42,37,9,4,,51,49,,
"Jan 27, 2021","Mar 27, 2021",Newspoll,Online,No tertiary,"1,622",41,39,8,3,,50,50,,
"Apr 21, 2021","Jun 26, 2021",Newspoll,Online,No tertiary,"1,656",43,35,9,4,,52,48,,
"Jul 14, 2021","Sep 18, 2021",Newspoll,Online,No tertiary,"1,850",38,39,9,4,,48,52,,
"Sep 29, 2021","Dec 4, 2021",Newspoll,Online,No tertiary,"1,850",36,38,10,3,,46,54,,
"Jan 25, 2022","Mar 12, 2022",Newspoll,Online,No tertiary,"1,607",34,44,7,4,,44,56,,
