Start Date,End Date,Pollster,Mode,Scope,Sample,LNC,ALP,GRN,PHON,UND,L-NP 2pp,ALP 2pp,L-NP r/a,ALP r/a
"Mar 11, 2020","May 16, 2020",Newspoll,Online,Age 50-64,"1,395",43,34,7,5,,53,47,,
"Jun 3, 2020","Aug 8, 2020",Newspoll,Online,Age 50-64,"1,668",45,34,7,4,,54,46,,
"Aug 26, 2020","Nov 28, 2020",Newspoll,Online,Age 50-64,"2,120",46,34,7,3,,55,45,,
"Jan 27, 2021","Mar 27, 2021",Newspoll,Online,Age 50-64,"1,568",45,37,5,3,,53,47,,
"Apr 21, 2021","Jun 26, 2021",Newspoll,Online,Age 50-64,"1,522",44,36,6,4,,54,46,,
"Jul 14, 2021","Sep 18, 2021",Newspoll,Online,Age 50-64,"1,666",43,35,6,3,,53,47,,
"Sep 29, 2021","Dec 4, 2021",Newspoll,Online,Age 50-64,"1,666",42,34,6,3,,53,47,,
"Jan 25, 2022","Mar 12, 2022",Newspoll,Online,Age 50-64,"1,559",38,37,5,4,,50,50,,
